"","LD1","LD2"
"JFR46",28.8597369932713,0.432516933016404
"JFR47",29.7305601567974,0.499801267113992
"JFR49",29.0158109205713,0.528317794009267
"JFR50",28.9960388788975,0.516954326482138
"JFR51",29.0698807444491,0.45621330335481
"JFR52",29.8615051366226,0.512793177281655
"JFR53",28.9166216224332,0.421099750515894
"JFR54",29.3286891925363,0.574290299694313
"JFR55",28.9750386400068,0.373474359550669
"JLA122",-6.79467749247283,4.33616482829307
"JLA123",-6.34243928450096,4.26495233337767
"JLA124",-7.07907263410772,4.31705748142373
"JLA125",-6.99874093401454,4.44173377888061
"JLA126",-7.22059333152921,4.39310653712015
"JLA128",-6.91237696580269,4.2917244810917
"JLA129",-6.87537104771075,4.65992168126034
"JLA130",-6.83789579111795,4.29305906344217
"JLA131",-6.99785761970257,4.33835203742663
"JLA132",-6.77268748937175,4.27017367952938
"JLA134",-6.79515445791402,4.37309343100859
"JLA136",-6.57418217151199,4.33332851724617
"JLA137",-6.71968867590495,4.26182007092976
"JLA138",-6.55286195285865,4.32324680612828
"JLA139",-6.48004803083415,4.39031515696668
"JLA140",-6.55053561105397,4.2362584990025
"JLA141",-6.69246661868512,4.24687760243651
"JLA142",-6.80974192301315,4.23347561758701
"JLA143",-6.51298801777013,4.26219572399531
"JLA144",-6.88650557785065,4.62447973802111
"JLA145",-6.900333277887,4.48234099587943
"JLA147",-6.40507849520847,4.06587950249315
"JLA148",-7.2089805619249,4.39958879940592
"JLA149",-7.3250880699136,4.4875382580409
"JLA150",-6.76351527126123,4.2741237615328
"JLA153",-4.88486796720275,-11.0122469644936
"JLA198",-7.10652566643027,4.1976331936567
"JLA199",-6.84979796908444,4.13939368893251
"JLA200",-7.09468081048301,4.22482446687012
"JLA201",-6.55514271452195,4.36852769237816
"JLA202",-6.40715739222998,4.1768035096159
"JLA203",-7.10318294292554,4.38668629835454
"JLA204",-6.502699086128,4.39112148486659
"JLA205",-7.60403644027622,4.27198174537486
"JLA206",-6.96583192818081,4.25571580512571
"JLA207",-7.26746335371689,3.95905325531024
"JLA209",-7.01381134345908,4.38016148324722
"JLA210",-6.92618247610792,4.31329419381664
"JLA211",-6.8669282363105,4.26015972258875
"JLA212",-7.38240615382503,4.41241097129359
"JLA213",-7.15357762897611,4.56887771557189
"JLA214",-6.82481581110881,4.48861986028329
"JLA215",-7.13859028872411,4.45245155982055
"JLA216",-7.02552898777821,4.33681811532067
"JLA217",-6.77289681158364,4.29620867762561
"JLA218",-6.82532139207837,4.26044934866606
"JLA219",-6.41857562937916,4.15526616937081
"JLA220",-6.87687076996731,4.33373778463395
"JLA221",-7.20424607227781,4.43748975545286
"JLA222",-6.62291878015898,4.47757308064142
"JLA223",-7.33630184727969,4.49925227605991
"JLA224",-6.83557264323004,4.20417263296733
"JLA225",-7.07691973320998,4.36833462652001
"JLA226",-7.38408805711995,4.40102733416218
"JLA227",-6.86387641596601,4.19320845240516
"JLA228",-6.6340035749379,4.21006337867087
"JLA229_1",-7.10294448483887,4.21586628306447
"JLA230_2",-7.27743600431567,4.28943473940001
"JLA231",-6.21400260245445,3.91436985009074
"JLA232_2",-7.15203555423663,4.32697776974234
"JLA233_2",-6.91516460968387,4.3359670327191
"JLA234_2",-6.99537027102008,4.31310383467845
"JLA235",-6.87604561965328,4.43199141043347
"JLA236",-3.52382518906577,2.80924101606721
"JLA237",-6.38945959087622,4.46141488228927
"JLA238",-7.28713378689964,4.33461618165072
"JLA239",-6.58012544376581,4.2757546810962
"JLA240",-7.23676891187362,4.55365658582861
"JLA241_1",-6.48038969684446,4.49882283483813
"JLA242",-6.57916479139608,4.24776565719238
"JLA243",-6.70652117394069,4.55279553827528
"JLA244",-4.31868159233202,3.01429169296008
"JLA245",-6.4606071734288,4.20273992247711
"JLA246",-6.85393907523645,4.43418597154654
"JLA247",-7.10583930288141,4.52262512624952
"JLA248",-6.9865576849767,4.3229418447494
"JLA249",-6.41966297279883,4.18274972081308
"JLA250",-6.83435992715478,4.23089757356194
"JLA251",-6.67849228568005,4.23799750784416
"JLA252",-7.02993420200738,4.24337463464491
"JLA253",-6.71254017238138,4.20041666606677
